DateKey;date_invoiced;year_date_invoiced;month_date_invoiced
906433d5851cb110a8da4ca21fbf8e779889fc43;2011-04-04;2011;4
ba4125f8041540ac4eef54a89c0505402eed4226;2012-03-16;2012;3
f937bcab4479d1ccb70228782325773ed93316a8;2013-05-06;2013;5
7d7bb30eda823595cf887b2c2379da761ce393c9;2015-08-03;2015;8
705cd8611eae7025d0975a75b8b7c5e2cd5b10eb;2008-06-05;2008;6
f98f515146132f7ad2ad675aedf879ec3554ae83;2009-08-17;2009;8
7763aa0ba88d18d0f87e64a3e091698488794931;2010-10-28;2010;10
fb0f179579cd7acef516fb6be6dc0d016ed72791;2014-02-28;2014;2
59dad15b3996d58feddff1e3d530579f062d94ac;2007-12-12;2007;12
a4fc722f56a3a4c549b2a12bf7c122a9c3c541ab;2008-12-08;2008;12
11d7a1f472964722ff28366e3752e08b823bbeb6;2009-06-05;2009;6
d2e1bf417139440abe9cd018370d7d96935be81c;2009-11-30;2009;11
1f5f42b6da7085f8c24720b6abe4deaa05803861;2009-12-10;2009;12
9ae7e49c1e76a5e134eb2c73f03b5bf1f764f880;2009-12-23;2009;12
a676fe50a1770e3af4c86c3b5a8576ed7e8d547e;2010-02-04;2010;2
e1797e7cd82ae24c9c8cb295e16c3f70485c92f7;2010-05-05;2010;5
50738caf3d749918d461db635d9a527957ec76bb;2010-06-11;2010;6
98cc05f93eaf2133475f6b538c55e1ce615de741;2010-10-12;2010;10
a492f39769e6f798771bc6e3e07f6136ccac3e9f;2011-05-27;2011;5
40e221b8b46f5369255044a9d003d1bf274bdc15;2012-05-18;2012;5
22c4b1007c162a344e24b1d042d7033c429d3624;2012-06-05;2012;6
49182d472a30db15ab8b259208a2beb78c9932d6;2012-07-16;2012;7
1c32202b23651d67d3fd0ca497d6c5ca8848a8c4;2012-10-09;2012;10
f14f2af28aad276b05c506e57160a69f4417e64d;2012-12-17;2012;12
494df8943a936be6e8351c21ef050c0ecf3d501c;2015-10-02;2015;10
8f9ae23b6485ee4a9c170dec4ba77a934b8601f1;2007-01-04;2007;1
8f9fa741a847253fa1b434e4acf2845259fc2c44;2007-02-15;2007;2
5a5d98aa73658e1837ae69ec9711c625a7294c5b;2007-04-18;2007;4
19e4ac5943c5ce973684a0a5faf388ef362ef7e9;2009-01-27;2009;1
c0ae199e752fac0d807e42120c24ea2427daaa62;2009-06-16;2009;6
edb8b46db9258a7eb251d71dda1117d38f60e648;2011-06-28;2011;6
47ee8cfa78d1876cdcf2e27c4a0f8c6266e734d6;2011-10-18;2011;10
255b0be37e56fb594d1605e334bb142550a293c1;2011-12-12;2011;12
6599ef6b027937f0cbac8324cd80cbeaaa95c637;2012-07-13;2012;7
c1bac4a984d59ca2e1bfbfcb0ab955cd2dae08f3;2012-12-17;2012;12
d83fa9724db1d7cc4e35afdbc7ca25ef1ddd0e4b;2013-05-02;2013;5
0ee4811d9bd68d2808b6fe8834a8dd9c458a5ea4;2013-09-19;2013;9
1b83d805df39dd3cf3395efff3072320daf1de15;2013-11-25;2013;11
3f6bcf85ad69324c7a0bf78a1092250b9a03d0da;2015-02-06;2015;2
bc05b2ccd21359bc2fabcf8f125b0b0f7952f314;2015-10-20;2015;10
702d24043a3b93ba4f11c88a8e543a0ea8514ff1;2016-10-07;2016;10
10c84ccc99bfb567a8df225f45011ab8c3dc2f44;2016-12-13;2016;12
54e005f500f9761c8f9bdb6f4fc949274e6e0939;2007-02-07;2007;2
a85a51b366edd63c5b30c1e7d0b87d073ed0066f;2008-11-25;2008;11
503252e5e9fc4232a43bba6becff0e38c03af6f4;2009-05-12;2009;5
e5318c52b2e24d7dbeee4a6e4535fa5c56eb647c;2009-06-02;2009;6
bec9001465a8060a21a84cd98966c8bdf3e0d037;2009-06-15;2009;6
11b02123e8a6416216273d2793b519718a0c29a9;2010-03-17;2010;3
f6c98524c3bb0ea35398de2282e1662ac3d00739;2011-01-11;2011;1
adc4d5dbcbf63d907ea69bf3447fa0f30fe80d36;2011-11-02;2011;11
e11296d07068b05c8b370f7d2f76a1402d52f4b7;2012-01-11;2012;1
8b3a0be69230f4cfa52714696894b1a23c5709d8;2013-09-04;2013;9
c1efcf4e172aae949fcd71a8b59cab77a13dcd38;2013-09-24;2013;9
499ffd65a27f6b2c4ef43e653eb1af51a32b7360;2013-12-09;2013;12
9184e38a3be14e05d8cab359ae269690c2553305;2014-11-26;2014;11
fbdfd125b3827669d29f642d1a4b5242d7b4d43b;2015-11-10;2015;11
196f500c2e818c5889853908cc3467c86e67ed25;2016-07-26;2016;7
3f6277859478e4842e4bcda9f8817c38ad2a930f;2016-09-15;2016;9
289de9daa12b4f27868174c84f49b678d3499865;2016-12-02;2016;12
9727382ce4a0ed11ae16f298b1a5788167b4824b;2007-01-15;2007;1
d5a8dd6492825fbe45c39c5a6cb88ad073e96afb;2007-04-16;2007;4
0a28c6c3351dc1024d005bd982271d84fc1d4dd1;2007-05-04;2007;5
20b9b02ea66b064aeee8012e3e46227803644716;2007-06-27;2007;6
ea1485856594bcc7dec049e5a1a55e23de3c22ff;2007-10-18;2007;10
eb5f5220eb3e52ece8baff882485b3e4210b59f7;2008-07-16;2008;7
086d7680041d3020e479adf559b862525f6be015;2009-05-07;2009;5
78d487f09bae673c1824118c015a19f6c6bc7d88;2010-09-30;2010;9
364d1c9f3126636f7e2ce1675f857f95f5a03017;2013-01-18;2013;1
ae1025e6834d437b6a2b8456fd40a833d7ebf828;2013-08-21;2013;8
7032adc9d5a3a57ca4c10d754660c49a3b359c49;2013-11-08;2013;11
31fe31f36ee2764d9d87f674a55ba85209b6c73e;2015-01-30;2015;1
505f4efe1199858c8f1cd8d1322d03b0f1a8a1cf;2015-10-15;2015;10
686ae890e5550a4271bbbdef9df35426ee107cb1;2016-05-30;2016;5
80ccd2f0894444e943bb0d0f40cc7a83fc17c7f6;2016-10-24;2016;10
dee9ed69356672f6700d02bdf4b9d27b4c42b72f;2016-12-05;2016;12
c815abd260a73a4a51f2647477c9128f1d7596d3;2016-12-20;2016;12
1d7e84ba4dae3a33156e4acb645339bf18d7ad3f;2007-10-10;2007;10
b0d0e900a954d314bc8424c3b3d24e4a40cc3a97;2008-05-16;2008;5
41f30bfcd8f60c123b0b29d630b0bc62d028b9e7;2008-08-11;2008;8
6d822b9faa37736d007474ff0473ea84db172700;2008-11-04;2008;11
960364868d728451e15ea0936f9f8e781972ae3c;2009-11-23;2009;11
5ae3026f617d7b2598aa73f4d2a084e93019960c;2010-01-12;2010;1
ea7a4db7aef22ebddf1549c97f53af8d04974e17;2010-11-05;2010;11
c11c09bca5cba8c49dd8d0ad74dd44d40dd66080;2011-08-31;2011;8
a8bed292d18d9572a476f4641067ac58f7c56fec;2012-02-21;2012;2
8a51d4b5d7e962cf06b7a4bfade2ae704adb6412;2012-06-05;2012;6
7d55b5cde690ea4b612e99229486372433a3bd73;2013-03-18;2013;3
036dec50dce99bc88833f13efa489553d8cca5c3;2013-04-23;2013;4
1fe4e399e799da14e1c9a3745fa5d38d46ba4ac2;2015-12-21;2015;12
ffa039e2a7964fee54201c1870c9b1a454f80e7b;2016-02-09;2016;2
0b0cebad1bd1976ccb05fbfdfa9c6768897822e7;2016-08-04;2016;8
2191ea2f8a8779fe044c857243772444b9869ff7;2016-08-16;2016;8
74197c50584ed0d6fd143d1ed75d3c049e8c7f4b;2016-11-07;2016;11
4cd0eb8de97c4d775abbf4cc6b641a88bcb5a645;2007-01-15;2007;1
80c94f630219917f837fea9b9ebfdc8186a81510;2007-10-01;2007;10
7ea23eb66578f385f6fdfeafd09453b40932a5ff;2007-11-03;2007;11
1ce4e78628edcd8370ac7a140cb6d40b87113977;2009-09-29;2009;9
72af1ee6948e1dfe08b188e63cf1b3bada0dd1f4;2010-09-03;2010;9
da51ee00a4f609a8ba64db133721e8abc5c1c428;2011-02-08;2011;2
b5eb9760e7782be5efb534d642a4f680ddc762bd;2011-10-10;2011;10
be7208891617858d97712ab7a3ece7b234daca1e;2012-06-06;2012;6
5fcc5fdba27e85a8971758fea267b170c2ca5654;2012-07-25;2012;7
1f46eab0b555d70c9b1f83e949a2f6acc999aa2c;2012-11-19;2012;11
9144d97158a38f9fcec6deb5f131e7779e3cb282;2013-09-20;2013;9
905ec704c91d86d6960c4502e5f3f7772ef6135d;2014-07-18;2014;7
6b7051657bacd6a7f24480b44f2115c06f51655a;2014-10-28;2014;10
fe513296a8155441e881c0c6db7e31109eea6055;2015-03-02;2015;3
0483a700c5847c81b369814c90d40075623f7336;2016-06-08;2016;6
e28cf2ced911c8a46bbd142d5bff8c2492d2c0a6;2016-07-28;2016;7
d6c0edbd95e520e2dd3b723d1b591d9e66b17e80;2016-11-22;2016;11
23dc912b452e5db9328cfe0d1ad299dc37d1072a;2007-01-02;2007;1
d2c90d2578102361deb68b2e32ae4adf1f86b8d5;2007-01-18;2007;1
d21840e75ab8abc75a4405c167b67d56c731239e;2007-03-12;2007;3
15b11ac4be2f63e510c805a191b2c09d4ac2e3e5;2008-05-15;2008;5
be6502bbf785cccfed1a122a163808109e5d9e06;2009-11-16;2009;11
9c9ef8ad20a2e44b3e35f5bdf3420dc082c2791a;2010-04-13;2010;4
bc236ac5d466ddc4d6ee9d6b2a10af4f3333f63e;2010-06-23;2010;6
e794345c58b29ef96e445b1387e0f2465f57ef70;2010-11-18;2010;11
87b9b9f1884df5b4f51ac5f4160e4330ef61ea76;2010-11-22;2010;11
58775d31cc76022ab44d90ed4d90d07783ffb488;2011-05-16;2011;5
9be5edbe3b8320b0fb8291263aad5e9c9622b7cc;2011-08-15;2011;8
cd40d0b1f7cdf51b60227207bae3926d5e68c5d6;2013-12-11;2013;12
cb819a94c8a6522f13c0c0b5c1407f665729d826;2014-09-04;2014;9
9bbfb94fa2230c99f5eb4bea61a8b4a23aaa1187;2014-12-19;2014;12
d3aa3671d5224a496bd0e2fc9f15dad780d19a93;2015-09-23;2015;9
6a53812a54722a23f086a7c16bab3c7a93e46301;2016-06-08;2016;6
43d3ec98e4ff543fc76774508be306089dd873c6;2016-07-27;2016;7
46fa4beba96d473f5bea2a2bb016f0c5aaf47588;2007-01-08;2007;1
ee7eb3b6874eadf7a7d5b76a0956e4ab291668c6;2008-08-19;2008;8
3ceda5915c5f473d2ec4c9f0ef5023dab17134e5;2008-12-01;2008;12
a89eb4efdf7b15390d332b38767ab4a8f4cb5566;2009-12-15;2009;12
2051770da14f4b8456d50f7e43d85909c852078c;2010-01-05;2010;1
c56fe2916b1d4045b42e4df7fd2f1707b9584ff4;2010-04-16;2010;4
c50d7b15081902eb89d79e1b71206a36a260fc4a;2010-09-07;2010;9
0356484cc361dab3b279851222786962605a8518;2011-02-18;2011;2
1dcc15db497b90e91f724769f3aab1de4b84dac0;2011-05-25;2011;5
004f2ca55d866720489e440d92e8d1701fc2922e;2013-05-20;2013;5
d40f3b98a46d83d3b32dd30c5523787e5372d59d;2013-12-06;2013;12
35932226a2535f835e8510387b68bce7e86a041c;2015-09-04;2015;9
81733d8fc5648b3810485e6a1a57d57bfa7ece9f;2015-09-30;2015;9
45930eab07c05393bb87b688c22fd871f0939aef;2015-10-20;2015;10
28ec202d5fd9d786a851f3a136918134e824d970;2015-12-15;2015;12
b0333749dfa59978c06abc5bdd8c53bf9b70ba38;2016-03-08;2016;3
22d944d36033502373d55518392dfd22f8ecd554;2016-04-20;2016;4
a05e3cfb638c79673d50fc9aa8531f4f35fffbbb;2007-06-20;2007;6
4ccb2b36bb2e4cfc5a0d564bc2346dc79e74bb97;2009-08-25;2009;8
88802d019ae27f3e8d8cde0ab87188a6b7d635e7;2009-10-20;2009;10
ec0f0c7751507bd00de85c42becffe45568e4699;2010-10-05;2010;10
32e25d6ba8ef41771513c0022f66423045ecb238;2011-05-31;2011;5
371105e5779e7065aa91d214f7dd1356cd8245fd;2011-07-11;2011;7
c98b27d072b0c649d245f667c99ca62d97854380;2012-02-13;2012;2
a36dfaf184377a371583b290171a33f7631642b4;2012-09-11;2012;9
d780788ff9885aafddb25acba385aa4b72ad8598;2013-03-15;2013;3
842b20ae7907df50c4d77082fe299250ba14538f;2013-09-27;2013;9
1a5d56436f1f5cdf172687ff02d6c02625b7f8b4;2014-01-31;2014;1
c81165a89da2d3378bd1809d3c9447d90417b05c;2015-02-17;2015;2
2823e1242281d4bd81ec19ff3c6e35ee35bc7a5d;2015-04-16;2015;4
90272db6e7811aae45db7a44bbd6e085dbe9f230;2015-06-30;2015;6
94ebcb004f6e36edffeb765e044d45ef66181b8c;2015-10-02;2015;10
19319eaf01a3e5637e615c0fb0313c6343279ac2;2015-10-06;2015;10
5a93e9697fdcad36e230977ddaaad6f25daf5fd4;2016-10-31;2016;10
403b94ad9c8c391df8ca28c465415917bf82377e;2007-01-02;2007;1
56b8eabda226646d9f3826088b4450be5a3efdfc;2007-02-14;2007;2
728327f73c512118e5c891a8199156f37e138eef;2008-04-10;2008;4
2b61c1f6bbab4ef9ab70174c300703e2131416d3;2009-12-01;2009;12
8a0c8fcd5cb9054a0d0726e7e0569c3d9ead69d4;2010-01-14;2010;1
3324db5cf4e239f4f53c85b87d4baf2b9a558792;2011-01-10;2011;1
a0f544191b16932e8d358357f77da2b7a864fed3;2011-06-03;2011;6
129c3bbedf3539f1acb49af1b4be04a08b5682fb;2011-10-10;2011;10
8420b393085d7a37924e9ac904e79e01288c6e9f;2012-01-09;2012;1
9c36f5347f8e62d683f0e46e65501771f928292e;2014-02-17;2014;2
42fe902d7e5438b9275d217e10acd8d151abff2f;2014-08-22;2014;8
c9610c2bc8976f27aa8c7d6e0161ea7839772826;2015-04-24;2015;4
ed83ffaabe4fab717dbe2d4d6885d6632aaa6684;2015-09-18;2015;9
26d34fe86ed32079901dcc6798f0c56a3d575260;2015-11-30;2015;11
937293d6dc713f2af76eeed279406d8467bc4a09;2015-12-07;2015;12
dfffeb81feb54a17159e845bc5c87c313245751e;2016-03-16;2016;3
6f1a765f2e5e99c353654a4404afa7cf188db0b9;2016-09-05;2016;9
f6dca7b1b72a3247f709d45fe91c7576fa679110;2007-02-05;2007;2
880d471324002c41a4f11ee6e306455ef7f05f7c;2007-05-09;2007;5
07c86212519f0eb867ab25bceaa1023af06b4840;2007-08-10;2007;8
27390d3d16e5364b8fc16429100cc16a175f27d9;2008-07-28;2008;7
ee72e1a68dbaa803d396e78a892cffcdb0c735a0;2009-04-07;2009;4
7cba376c1d5680980a634a1fe1470cb3dc622481;2010-01-19;2010;1
10e9fc1e4410fd715c4d78559da25c3b1587589e;2010-01-28;2010;1
6cd724893e4900119b98c6aae63a31c985cceabb;2010-09-10;2010;9
b7dee07af97771f92b432938591275f6350641f4;2010-12-16;2010;12
52c67c8381de4210ad1ecbe5454efd1e2a70a0f9;2011-08-04;2011;8
a8e4af7aa5fe3efa8d216e0df1444ecdf7e69cf3;2011-08-05;2011;8
f15ce42a6cc763f4facd928f6d78aa05258070f6;2011-10-14;2011;10
777f1a1ff56e43a75fd9a10199b12f67c02c7952;2011-11-10;2011;11
bd47013b4e2de31b4ac688ef7a80ca79513b5b44;2012-07-18;2012;7
87c9c966f8959e02ee7062f592a4aa026db8cf68;2013-01-22;2013;1
1fc9eedc08d0dc276c12b1bd2527e0d75026a33d;2014-01-28;2014;1
fa814d987801b415441fb3b628b7f217f02557aa;2015-06-05;2015;6
594ee653a7447203a7dd9536a65fb9214a2e0977;2007-01-09;2007;1
ef8d6ec66f2bc10c337935a7d17f1b4fcbcf6c59;2007-01-17;2007;1
ff97c454e824e8540f928f8dff9c3da84e2b5e8e;2007-02-12;2007;2
bd8e28951ecb09865149452cb8ba9657f0eaf836;2007-05-08;2007;5
42d36c04fdbaeada6eb4f4fa6e52dfe7d7e17c79;2007-06-12;2007;6
524ddcc629cedef22e3ae08aeecbac156cf81f89;2008-05-16;2008;5
7d9c4a4c2c73948b674f88a64c9a203a45c16e71;2008-07-02;2008;7
fe64cc793c1311ffe6d6006071922b99605f6e32;2008-10-17;2008;10
2e3f9baba3dd926f3d8ac242e3c9d9860f653f7b;2008-12-24;2008;12
1cc27bcdc449e72b8cce3be01a6e898c340c33ab;2009-02-27;2009;2
7190de446d2c9f1960354c73e5ec69a32e3ab952;2010-04-15;2010;4
ee3937f36a339bac12985d58383a4862a0d9197d;2011-01-31;2011;1
f004412d971374b06faf8c1fc87b6f0152d3ba39;2011-07-08;2011;7
1eaf2a67e64f6ba3fb6a655701cb84a9b055b656;2011-10-06;2011;10
0bb9c81ce6c45064cdaf3200445b2e515aaa56ae;2014-04-15;2014;4
77d8e166285f749b7f169ce70f792b1d9ff2db38;2014-05-05;2014;5
fc7c4ea0a27d24b1bcc801b7917c56302cf719f5;2015-09-16;2015;9
626eb31ba43653da5e79464aeebad85b1c2dc4fd;2007-01-03;2007;1
019912813db43a799b7f92110227526b38f7bac7;2007-01-05;2007;1
03833fcd11404259b9eb75dfc25556c3fae15f55;2008-01-30;2008;1
d0ea967a4452d7b61219545f3badaa8506f6b0a2;2008-02-26;2008;2
02e6615bdc971b2f412d75f3abc10503f71ff510;2009-12-17;2009;12
94430821e97ee825b402392232ddab1c1fb5409d;2010-01-08;2010;1
74d75e7e3e06c77308f1008c71b781d3a1ae41c2;2010-06-24;2010;6
13ad13dddfd390e0ac4af83afaac1f4fae97ed8f;2010-12-10;2010;12
7edeed35ed98d58d22b6bc6a9b6f3bec450353f2;2011-01-18;2011;1
4c03907a6a5352b0e38581ebc6f6c51891d8bb51;2012-01-30;2012;1
6161dea9ff554d8a4dbb6cd89d9cf42e0772b675;2012-02-07;2012;2
e8de76d82e4105439d1481d64c8d8b74ddbd0188;2012-03-12;2012;3
74b0554fd2e18ba1386464351c7f24332ad47745;2012-04-25;2012;4
f0088b4a222d3cc7b5d4f890b17fd032de59d9a6;2012-11-09;2012;11
663a7184d840d9eace8c73b2e5655b6abf2cac89;2013-03-20;2013;3
cd72da58e165eb391192d24a1c1bb99e06fc324c;2014-04-03;2014;4
8d987befd350c721f3b1d4fb53f13fd41572b3c3;2016-07-11;2016;7
6b47cb2af3693f9b73623605c7cb33c7e567c2ba;2007-01-03;2007;1
720947f26d55594ebec764ab5271164a465b38c4;2007-02-19;2007;2
82e8e8e18518880cdb749c9a2b4082ad0001c230;2007-02-22;2007;2
291d8065d014fa014450929c11f5f1dfd7744de0;2007-02-26;2007;2
1f7ab03f7e05cd9db2eb8e855e7388a093860a4c;2007-08-29;2007;8
8f6a4beee2580704f1f81e21af3dc58cd53296d8;2008-02-22;2008;2
6ea40bf2398062e4a807ac20fd78d7ce21182e0a;2009-06-15;2009;6
947e008512c55dce2076bdafa8a03bd736e79663;2009-08-05;2009;8
c722aa5eefe2c73b84c7bab0df6c890d1bc39824;2010-10-29;2010;10
74bbc3032508f546726a181bb4ab5ff8f9edc236;2011-05-05;2011;5
9c9acc1b92a536cd0dd4c5f6d2dbc69e0ce433dc;2012-01-26;2012;1
224d02473ca4842644cc291041864c4b9e2424ef;2014-04-29;2014;4
678ee23d41d16acc964028bb63a8dfb9a6b8eeeb;2015-02-05;2015;2
16e7fe54b032c588a3817afd923d1416fe10daed;2015-12-21;2015;12
b0634cb18d61e786574105c3dbde774a06bb5335;2016-03-23;2016;3
51b467e46f52b8c70c8af6fef2863d6946dbfcf7;2016-05-06;2016;5
c6045f85aa85b54c068f93aab9488de065d802fe;2016-11-22;2016;11
bd0754379d5e7db6b76e514944fee8630d79e4db;2007-01-16;2007;1
7b1f1a03875dd89a47a513622ab4c390bfa1630c;2007-03-05;2007;3
ee388ab08a916a4f5e7266351610b6a740f2d31d;2007-03-15;2007;3
9817a63acb1134dbe4da3f52f224652d1c78516a;2007-11-08;2007;11
b687b3d7de50b8204f7ea2e6da1ad745a0725ded;2010-01-07;2010;1
2a76ed5d074979def68040c91ebaee4f5d0a023a;2012-07-25;2012;7
bbde42ffd1a04057969f4da2702488593a92d364;2012-08-30;2012;8
c5dfb36015f559a4af8b53da6898f0ec1831555c;2013-09-16;2013;9
3884949c03e5ff3e3773154dd6b9ab7f80b21401;2014-04-25;2014;4
3ae87356131087ea4ab7e1c9a0813bb035737078;2014-05-30;2014;5
886073a7c65418049b5301ead4330b5e7ae408df;2014-07-24;2014;7
7bd31452bad4ae66f45cb3cc25e4c03f9bb8ad3e;2014-08-06;2014;8
91e66a8547c2f682a7dbb355ef56d3bfc28f84de;2014-11-21;2014;11
a6bee4bf0fda56adaf35aaaeb6ec7d694350ea9a;2015-03-25;2015;3
2b0cc8f76f351637daceb0f7f5e3ccd28810be25;2015-06-23;2015;6
00500f253010b5b9d883f204eeac401f85d6c19e;2015-10-14;2015;10
4bd1940e0119f53d0f30594da680eb61885c71d4;2016-03-10;2016;3
e374cf609793d6678f6d7f70d4cba8772c503a98;2007-04-26;2007;4
4e11308375703322eb87bf4048e45f6082408575;2008-03-05;2008;3
cae5e85fa15450479e065c7fd641297494aa6006;2008-05-08;2008;5
2368f18d4d8649b7e8303990cc552bebe7c82c8f;2009-05-25;2009;5
b86987bdcf3a3e6d19efeb049e14398ee262629f;2009-09-08;2009;9
714837cc1a48f50c2c33285bf287f19040f5fc5b;2009-09-23;2009;9
6f75c38438851fae457eccfb3bcc8110c9d0a852;2009-09-30;2009;9
674b8f7a480ed2966573806559163a1a9ba8ca2e;2010-04-13;2010;4
26e852f564ca41fbfc216358284311cae66938fa;2011-01-27;2011;1
4dec689fabfd082bca0eabfb3dbc00392b7be3ea;2012-03-30;2012;3
d869d60f77bfdd5ba27ca153c8f7327abd15f542;2012-04-27;2012;4
2081b65f8e32556103b6575ef2a398bcbfa32bf7;2012-06-12;2012;6
0b157cf436a06b7d50ec2d434969875e4866cf22;2012-07-03;2012;7
fcc6c4b336f8ed76f92c360f1a330f3c86f14264;2013-11-21;2013;11
be6f83f00fdac6d76b93883cf34078f52184daaf;2014-06-30;2014;6
848b1823ba710888951bd355a39ca091814e3bec;2014-08-26;2014;8
f64c4e337348ae20e8445fed28daa473ba86a4fd;2016-10-26;2016;10
edd8fdd287938534793a293b528138d35ac1bf69;2007-05-21;2007;5
e6de15e0601aa937dbf05857a366e4dc27e28269;2007-05-30;2007;5
c594473b7a653277569ed9e8a253d9b63ef6a0bd;2007-08-03;2007;8
21c26e82524c77eb4314b7526a8205707a7f0198;2007-08-21;2007;8
c1524ffd0d1ac104408c03df48578eea018e9f41;2008-06-03;2008;6
31c95efdd87f564d76fad54e08b09aa4bd490a41;2009-03-16;2009;3
d7f4c1b0bc86e5109d85675e55714f833d7d9e2a;2009-11-11;2009;11
c2f08e5f4baf3524312d4afc982e059c4e9e09b2;2010-07-08;2010;7
87e69141d4a1f94149444fb60b22fe5cdf8edf18;2011-03-29;2011;3
71133bafb4f98cadf3eef3c9fc4ab4fc76ca49a8;2011-12-16;2011;12
a340dd1e8dfa8735c6d7196a007696164b50e7ba;2012-05-28;2012;5
4dc39e967f7d9c4cfe5bf5bd58680fea425ca127;2012-08-31;2012;8
86123500f98d2a6034c5426b21e1894facf4b767;2014-01-06;2014;1
896ec572f5b70ca79e649ca5eea7520956b7665c;2014-02-10;2014;2
63e1a015c5d8dc532f42e1b06bd4f7e99f4392b0;2015-02-15;2015;2
5c75c5e94e6e2616adf7cf45ac6ba3212b9a03a7;2016-03-22;2016;3
27df8783d6714ddf33e6d8b827e16ccad35da7e7;2016-09-09;2016;9
